language pair	# of users
bn-it	2
bn-ru	2
de-kk	2
el-fa	2
el-ga	2
el-hi	2
el-kk	2
es-kk	2
es-vi	2
fa-fi	2
fa-kk	2
fa-no	2
fi-ga	2
fi-uk	2
fr-kk	2
fr-th	2
ga-it	2
ga-ja	2
ga-sv	2
ga-uk	2
he-id	2
hi-it	2
hu-uk	2
id-it	2
id-kk	2
id-ko	2
id-pl	2
id-ro	2
is-uk	2
it-kk	2
it-ms	2
it-ur	2
it-vi	2
ja-kk	2
ja-ms	2
ja-vi	2
kk-ko	2
kk-ms	2
kk-pl	2
kk-pt	2
kk-ro	2
ko-ms	2
ko-uk	2
ko-vi	2
ms-pl	2
ms-ro	2
ms-ru	2
ms-tl	2
ms-tr	2
nl-uk	2
nl-vi	2
no-uk	2
no-vi	2
pl-ur	2
pl-vi	2
pt-vi	2
ro-sl	2
sl-uk	2
uk-vi	2
vi-zh	2
bs-el	2
bs-eo	2
bs-hu	2
bs-it	2
bs-ko	2
bs-pl	2
bs-qu	2
bs-simple	2
bs-sv	2
bs-zh	2
ca-eml	2
ca-fi	2
ca-fur	2
ca-gd	2
ca-hu	2
ca-ko	2
ca-no	2
ca-sr	2
cs-simple	2
en-fur	2
en-gu	2
eo-simple	2
es-fur	2
fi-sn	2
fr-fur	2
fr-kg	2
fr-sjn	2
fr-sn	2
gd-ja	2
gd-ru	2
gd-uk	2
it-tlh	2
ko-qu	2
no-se	2
pl-qu	2
qu-ru	2
qu-zh	2
ru-sjn	2
simple-sk	2
simple-sl	2
simple-sr	2
sjn-uk	2
sjn-zh	2
en-prl	2
es-prl	2
fr-prl	2
prl-pt	2
prl-zh	2
am-om	2
en-om	2
ang-sco	2
en-CA-sco	2
grc-sco	2
la-sco	2
id-su	2
es-ppl	2
ppl-pt	2
ar-prs	2
ckb-prs	2
en-prs	2
ku-prs	2
prs-sdh	2
arq-fr	2
de-mt	2
en-mt	2
it-mt	2
az-pt	2
hy-pt	2
en-mai	2
mai-ne	2
gu-hi	2
diq-ku	2
grc-pt	2
en-fil	2
fi-la	2
fo-nb	2
fo-nn	2
en-kn	2
lzh-zh-Hant	2
ja-lzh	2
de-lmo	2
es-lmo	2
la-lmo	2
de-ku	2
ja-nan	2
fa-tly	2
en-tn	2
zh-zh-hant	2
mk-sl	2
en-zza	2
en-tcy	2
kn-tcy	2
lzh-yue	2
kn-sa	2
en-tmr	2
he-tmr	2
eo-gl	2
be-es	2
eo-hr	2
lmo-pt	2
eu-ru	2
gl-ru	2
es-hy	2
es-ka	2
ru-tk	2
es-gn	2
la-sc	2
ca-id	2
gl-ro	2
ca-grc	2
grc-he	2
gl-he	2
ko-la	2
la-ro	2
en-gb-fr	2
chr-en	2
en-zh-yue	2
cmn-th	2
en-qya	2
en-zh-min-nan	2
qya-sjn	2
el-hy	2
en-gb-it	2
de-gn	2
en-gn	2
fr-kea	2
en-tokipona	2
fr-ln	2
es-yue	2
nap-scn	2
et-vro	2
fi-vro	2
en-luz	2
fa-luz	2
fa-pes	2
pes-prs	2
pes-tg	2
de-se	2
fi-nds	2
nds-se	2
nds-sv	2
et-krl	2
krl-sv	2
olo-sv	2
fr-frp	2
en-frp	2
frp-it	2
gsw-ru	2
fr-rm	2
it-rm	2
nl-simple	2
eml-vec	2
es-lzh	2
fr-pa	2
en-ilo	2
ilo-tl	2
diq-tly	2
en-gag	2
Zh-cdo	2
Zh-en	2
Zh-nan	2
cdo-nan	2
en-min	2
min-ms	2
de-jv	2
eo-vi	2
he-nap	2
fr-pms	2
pms-pt	2
ba-en	2
be-nl	2
be-ro	2
lt-ro	2
it-lad	2
lad-vec	2
la-nap	2
bs-ro	2
cy-fr	2
de-nn	2
it-nn	2
en-lij	2
es-pms	2
de-nap	2
de-scn	2
gsw-la	2
it-ta	2
it-te	2
grc-ia	2
ia-la	2
en-wa	2
grc-ja	2
he-vec	2
es-wa	2
en-jam	2
az-kaa	2
de-ky	2
kaa-ky	2
kaa-tt	2
en-kbd	2
kbd-ru	2
ky-ota	2
lv-ota	2
lv-otk	2
fo-ru	2
da-kl	2
az-lez	2
en-lez	2
lez-ru	2
de-got	2
en-got	2
fr-got	2
fr-nds	2
got-nds	2
got-nl	2
dty-hi	2
dty-hif	2
dty-ne	2
es-nb	2
de-nb	2
